Ticker;Date;Stock close;Stock net;Percentage change;Stock open;Low;High
SP500;06-feb-2024;4.954,2305;+11,4246;+0,2311%;4.954,2305;4.954,2305;4.954,2305
SP500;05-feb-2024;4.942,8059;-15,8080;-0,3188%;4.942,8059;4.942,8059;4.942,8059
SP500;02-feb-2024;4.958,6139;+52,4199;+1,0684%;4.958,6139;4.958,6139;4.958,6139
SP500;01-feb-2024;4.906,1940;+60,5468;+1,2495%;4.906,1940;4.906,1940;4.906,1940
SP500;31-jan-2024;4.845,6472;-79,3267;-1,6107%;4.845,6472;4.845,6472;4.845,6472
SP500;30-jan-2024;4.924,9739;-2,9549;-0,0600%;4.924,9739;4.924,9739;4.924,9739
SP500;29-jan-2024;4.927,9288;+36,9583;+0,7556%;4.927,9288;4.927,9288;4.927,9288
SP500;26-jan-2024;4.890,9705;-3,1851;-0,0651%;4.890,9705;4.890,9705;4.890,9705
SP500;25-jan-2024;4.894,1556;+25,6017;+0,5259%;4.894,1556;4.894,1556;4.894,1556
SP500;24-jan-2024;4.868,5539;+3,9572;+0,0813%;4.868,5539;4.868,5539;4.868,5539
SP500;23-jan-2024;4.864,5967;+14,1710;+0,2922%;4.864,5967;4.864,5967;4.864,5967
SP500;22-jan-2024;4.850,4257;+10,6143;+0,2193%;4.850,4257;4.850,4257;4.850,4257
SP500;19-jan-2024;4.839,8114;+58,8738;+1,2314%;4.839,8114;4.839,8114;4.839,8114
SP500;18-jan-2024;4.780,9376;+41,7295;+0,8805%;4.780,9376;4.780,9376;4.780,9376
SP500;17-jan-2024;4.739,2081;-26,7679;-0,5616%;4.739,2081;4.739,2081;4.739,2081
SP500;16-jan-2024;4.765,9760;-17,8551;-0,3732%;4.765,9760;4.765,9760;4.765,9760
SP500;12-jan-2024;4.783,8311;+3,5886;+0,0751%;4.783,8311;4.783,8311;4.783,8311
SP500;11-jan-2024;4.780,2425;-3,2066;-0,0670%;4.780,2425;4.780,2425;4.780,2425
SP500;10-jan-2024;4.783,4491;+26,9526;+0,5666%;4.783,4491;4.783,4491;4.783,4491
